,Unnamed: 0,starttime,endtime,text,question
0,0,4.08,7.19363,hi my first question is where were you born,1/
1,1,10,16.07,wow what a coincidence actually i have my second home in shandong province so which city,1f/
2,2,20.03836,23.80836,yeah my home is in # is it close or far,0
3,3,27.05022,30.73022,far away okay so how many times did you spend there,1f/
4,4,37.8089,41.23791,so since you you were born you have stayed there right and,1f/?
5,5,42.5689,47.0089,and uh is there any places of interest you recommended in your home town,1f/
6,6,67.31635,77.26523,okay and uh what is your mother's job,3/
7,7,78.65523,83.31523,so what subject and uh the age age range,3f/
8,8,89.3588,92.4388,wow so in the college university or,3f/
9,9,93.6488,94.9188,so which university,3f/
10,10,101.28349,104.70349,so your mother did not live with you in shandong,3f/
11,11,105.20349,108.33349,wow so you may miss her a lot right,3f/
12,12,114.03152,114.34314,w-,0
13,13,114.73267,116.05707,sorry what whatdo you mean by,3f/
14,14,116.16471,117.30357,y-you wonder why,0
15,15,120.10235,126.71235,okay um and your mother teach computer science so what is your major,3f 21f/
16,16,137.07529,146.31529,eh your mother did not uh maybe encourage you to learn computer science maybe she will give you some guide guide or yeah guidance,3f/
17,17,159.91938,163.00472,okay so what is your father's job,4/
18,18,166.47272,168.63991,so what what what major,4f/
19,19,171.15393,171.84019,math,0
20,20,172.68019,177.58019,okay in high school # so also in # province or shandong province,4f/
21,21,187.78377,188.69267,tianjin,0
22,22,189.16011,192.53603,so all of three live in different cities,0
23,23,209.09529,214.29779,but is # maybe kinji is different from # right,1f/
24,24,220.06529,230.63449,okay and uh how many years did you live in your first home,2/
25,25,233.48449,236.48449,so you have not moved to any other places right,2f/
26,26,239.36019,244.22019,oh so you have never been to to to to tianjin or that,2f
27,27,244.83019,246.40019,to visit your parents,2f/
28,28,249.64215,252.76215,but still did not move to live with them right,2f/
29,29,255.76215,265.32711,mmm and have you cheat on a test in high school really for what,24/
30,30,265.56711,267.16711,can you give me some more details,24f/
31,31,275.12878,275.54428,yeah,0
32,32,277.76313,278.01313,yeah,0
33,33,288.52491,290.44659,# yeah i i know that # i know that,0
34,34,292.16052,293.17329,oh i know that,0
35,35,300.706,304.286,okay all the subject or several of them,24f/
36,36,307.91965,313.8845,geology okay and do you ever have a cat,22/
37,37,318.60899,322.56743,so it is a he or she,22f/
38,38,327.67876,332.20544,do you like her or how how do you take care of her,22f/
39,39,345.22168,352.95168,okay so did did she have a nickname or that kind of thing you like to call her,22f/
40,40,355.09168,356.3382,moo moo okay,0
41,41,356.4782,361.02324,so cute um how many roommates do you have,20/
42,42,366.3382,367.12094,its twenty,0
43,43,381.5892,385.069,why your husband cannot be counted as your roomate,20f/
44,44,393.38763,397.46604,actually i don't know this i have no husband i don't know,0
45,45,402.40742,403.31632,oh yeah,0
46,46,406.45601,423.80503,so you mean still no roommate right okay okay and um you attend if you attended college you you you have mentioned that your major is like finance,20f 21/
47,47,424.46503,426.05503,so what is your major now,21f/
48,48,435.3493,436.49192,yeah,0
49,49,443.71369,449.43276,wow it's oh i think it there is a big gap between those two majors,21f/?
50,50,473.39788,481.62794,so when you in your undergraduate years what courses did you take in in history,21f/
51,51,491.60366,492.00366,yeah,0
52,52,515.3946,516.00677,okay,0
53,53,517.3546,519.5346,um have your parents divorced,5/
54,54,523.37664,525.42664,so what what is the reason,5f/
55,55,550.00101,550.36457,but,0
56,56,550.52038,553.03934,you said you live with your grandparents,0
57,57,566.21411,567.25338,yeah,0
58,58,571.11338,584.97525,okay so they both live in tianjin and uh okay um have you ever broken a bone,6/
59,59,591.20167,597.41167,okay so did you see anyone who have broken a,6f/
60,60,601.98539,608.88539,um but uh if you can imagine how do you think it will be like broken a bone,6f/
61,61,617.5492,618.01663,yeah,0
62,62,626.74593,627.75593,yeah so,0
63,63,637.94593,641.70008,okay um do you have allergies to any food,7/
64,64,645.92593,649.37593,uhh so you can eat anything,7f/?
65,65,652.49122,659.61285,wow i envy you since i cannot have everything i i um i cannot say i like right,0
66,66,660.72285,661.1741,yeah,0
67,67,661.87285,666.55285,umm have you ever stay overnight in a hospital as a patient,8/
68,68,668.18563,674.02873,wow so you have been healthy all these years and don't have to stay in the hospital,8f/
69,69,680.83076,681.12076,yeah,0
70,70,683.44076,687.97076,so you don't haveuh some serious diseases right,8f/
71,71,692.17327,694.28282,have you ever tweeted,9/
72,72,695.48282,698.9919,so you don't have the tweeted- twitter account right,9f/
73,73,701.42918,703.32679,so do you have the facebook account,9f/
74,74,706.22679,709.23839,why why you choose facebook rather than twitter,9f/
75,75,726.64236,729.88871,you been here in the united states,9f/?
76,76,731.75481,741.05159,two months okay mmmm have you ever watched a person or pet die,23/
77,77,743.02159,746.55785,so how is it like can you describe to me,23f/
78,78,759.6056,762.8031,wow wha- what is the reason or do you know why,23f/
79,79,766.48571,767.31671,yeah,0
80,80,778.81588,779.543,oh,0
81,81,779.85462,780.81546,yeah i know about that,0
82,82,804.26744,851.30896,so how did you feel about that when you maybe witness the process of your grandfathers death actually you your words make me so confused since you you said,23f/
83,83,846.84896,858.48896,actually you your words make me so confused since you you said that you ha-have watched but you said you came back several months later so what's,23f/
