,Unnamed: 0,starttime,endtime,text,question
0,0,3.86,6.99,oh kay so first question where were you born,1/
1,1,9.1,10.44,uh uu,0
2,2,11.66,16.9489,uh so schedule uh let me let me let me think,0
3,3,18.7189,35.51534,i promise ha everywhere in china get caught cheating is bad,0
4,4,35.93291,36.97943,i think ok,0
5,5,53.34659,54.20264,yes i know that,0
6,6,58.4782,58.71777,s-,0
7,7,61.26472,61.51962,s-,0
8,8,61.65168,64.68323,so the town uu is also in uu providence right,1f/
9,9,74.0828,74.6828,also,0
10,10,80.37734,86.23086,umm oh kay oh kay next question how many years did you live in your first home,2/
11,11,98.22406,102.59374,so you live in eighteen years you never moved home,2f/
12,12,130.39185,130.96185,so you,2f
13,13,131.09185,135.19185,so you lived your hou- your home for more for f-,2f/?
14,14,136.66185,137.77185,so may i know your,21f
15,15,137.85185,140.08185,may i know which is your university,21f/
16,16,144.30185,145.6778,uh pardon north west,21f
17,17,148.2078,149.3978,poly technical,21f/
18,18,150.0378,152.1478,oh okay so oh,0
19,19,152.8578,153.3878,but le-,0
20,20,153.5678,154.9778,but uh but but but may i,0
21,21,155.0678,156.9378,ask you a question are you living are you,f/
22,22,156.9978,159.5578,are you living the urban area area,f/
23,23,165.86515,167.39761,no i i mean your home,f/
24,24,168.42227,169.01168,your house,f/
25,25,177.18323,177.98323,riverside,0
26,26,185.17323,186.49017,so may know on wh-,0
27,27,186.63979,190.48323,on whi- which floor is your hou- your apartment,f/
28,28,202.37594,202.77492,i'll wait,0
29,29,207.47028,210.91028,first ground so how many floors is your house,f/
30,30,211.00028,211.43028,it is,0
31,31,212.15162,213.05028,six floor,f/
32,32,214.19464,220.4446,oh kay so whats your mothers job,3/
33,33,222.4046,223.3046,doctor,3f/
34,34,227.7746,229.15681,which hospital uu,3f/
35,35,232.42122,234.7015,hu bai province h- hospital,3f/
36,36,236.3815,239.4315,so which department is your mothers,3f/
37,37,243.8115,244.5015,ice,3f/
38,38,260.14203,278.39678,so where did your mother graduate from kay so what's your fathers job,3f/ 4/
39,39,292.04499,293.34511,in youchi,f/
40,40,328.89284,332.18078,so your your father um teaches what classes,4f/
41,41,333.35711,334.25936,mathmatics,4f/
42,42,335.6286,338.21485,houp aye jujung rewei,4f/
43,43,353.89198,360.45735,ok i knew that so have your parents divorced,5/
44,44,364.4429,367.5729,mmm so you now live with who,5f/
45,45,374.61631,390.59993,uh let me think but you live in the hou- your house for eighteen years and if your parents divorced one family member maybe moved out so i guess your mother moved out right,5f/
