,Unnamed: 0,starttime,endtime,text,question
0,0,4.27,7.3,all right uh where were you born,1/
1,1,10.48765,20.50765,columbus ohio um um alright that's true enough there perfect right out of the gate,0
2,2,20.81765,28.47765,ok um um and uh your your parents were born in columbus ohio as well,1f/
3,3,29.95765,31.12765,where were your parents born,1f/
4,4,35.57975,35.75975,mm,0
5,5,36.41975,36.83229,umhm,0
6,6,39.38975,42.73975,in albany new york and then they moved to columbus after they got married,0
7,7,46.18156,51.08156,oh okay all right and uh what kind of work did they do in d c,3 4/ 
8,8,56.29675,56.57675,okay,0
9,9,58.71675,64.51675,um and columbus is near cleveland or not,1f/?
10,10,68.96139,69.43228,kind of,0
11,11,69.97671,70.47215,kind of,0
12,12,71.02671,73.94671,it's kind of a it's kind of a midwest blur if i'm being honest yeah,0
13,13,74.12671,76.12671,my grandparents are from there but its still a blur,0
14,14,76.45671,76.87671,alright,0
15,15,80.25244,80.44244,okay,0
16,16,80.93101,86.52244,alright um um and did you like it at all or did you want to leave immediately,2f/
17,17,82.83417,88.04244,um and did you like it at all or did you want to leave immediately growing up,2f/
18,18,100.34005,100.71005,ok,0
19,19,100.79005,100.96005,yeah,0
20,20,101.68005,107.17005,right um and so yeah how many years did you live in your first home,2
21,21,109.10005,109.88005,twenty years,0
22,22,110.23005,113.55441,perfect and then you moved out ju- to go to college directly,2f/
23,23,114.84441,118.32591,awesome and you went you came like right to columbia,2f/
24,24,118.32591,119.58441,i mean do to you go to columbia,2f/
25,25,120.37441,123.04441,and you came here you came straight to new york from columbus,2f/
26,26,124.69441,127.41441,was that a shock or had you been to new york were you ready for it,2f/
27,27,136.25298,144.42298,alright cool um alright lets see do you own a tennis racket,19/
28,28,146.52298,155.01164,no hmm hmmm m um ha ha do you play tennis i guess would be my follow up ha,19f/
29,29,155.40404,163.58503,no you do not play tennis alright that checks out that that checks out and your parents don't play tennis is that what you're trying to tell me here,19f/
30,30,164.93503,166.61503,your dad does play tennis and yet,19f
31,31,166.74503,169.28503,is he disappointed in you as a son that you don't play tennis,19f/
32,32,170.73503,171.15503,ok,0
33,33,171.26503,171.45503,yeah,0
34,34,171.85503,172.92503,alright alright,0
35,35,175.61412,176.23412,ok,0
36,36,176.23412,177.01412,v- ok,0
37,37,177.01412,180.64412,thats very interesting i like in high school at a high school level,0
