,Unnamed: 0,starttime,endtime,text,question,
0,0,3.29766,6.42902,okay number two one two asking questions where were you born,1/,
1,1,11.51467,12.87886,uh what street is that,1f/,
2,2,25.43295,26.14295,um,0,
3,3,27.35295,29.86295,uh how many years did you live in your first home,2/,
4,4,46.87421,51.79824,mm who are you li- who are you live with in yo- uh first home,2f/,
5,5,53.7841,54.13582,yeah,0,
6,6,68.5914,71.29615,so how many times you move very far,2f/,
7,7,93.30399,94.84073,mm what is your mothers job,3/,
8,8,113.65565,115.66857,but you just said you were adopted,0,
9,9,120.75778,123.46778,okay and w- where is she living now,3f/,
10,10,125.48778,126.37778,mhm,0,
11,11,126.48778,127.18778,with your dad,3f/,
12,12,130.22871,141.94871,mhm so um so uh hows uh have you ever broken a bone when you were a baby were a child,6/,
13,13,154.26508,160.15882,um have you any injury like you know uh breaking an ankle and then uh stay in the hospital overnight,8f/,"could be 8f or 6f, not sure"
14,14,163.34596,166.72596,um do you have allergy to any food,7/,
15,15,170.08676,171.82676,how about mushroom,7f/,
16,16,173.45956,174.20051,okay ha,0,
17,17,175.21676,178.83676,um um do you like chinese food,f/,
18,18,180.25676,181.70676,have you ever heard of,f ,
19,19,181.77676,182.79676,bloody tofu,f/,
20,20,184.09513,185.98582,ha,0,
21,21,186.68676,194.13676,sounds weird so $ have you ever tried any weird food like indian food and different kind of food,f/,
22,22,197.70676,201.87925,mhm mm,0,
23,23,206.72094,207.14252,mhm,0,
24,24,208.75216,209.42082,mhm,0,
25,25,211.21082,216.55082,mm uh so you never stay overnight in a hospital, 8/,
26,26,220.33296,225.40406,mm have you ever tweeted you know post a message on twitter,9/,
27,27,241.94873,246.48873,mm uh have you bought anything on ebay,10/,
28,28,248.55873,249.85362,what kind of things,10f/,
29,29,255.02746,255.64066,mhm,0,
30,30,257.23753,263.79596,oh yeah do you know uh that,10f,
31,31,264.05596,266.28843,like uh return policy on ebay,10f/,
32,32,278.79471,282.73471,okay um do you own an e reader of any kind,11/,
33,33,291.28435,293.66435,mm so what kind of phone are you using now,11f/,
34,34,296.64518,298.08911,do you read on an iphone,11f/,
35,35,303.48225,303.8655,ha,0,
36,36,312.58395,312.9672,hm,0,
37,37,316.31478,319.62478,so who was the last person you were in a physical fight with,12/,
38,38,331.35757,331.72757,mm,0,
39,39,336.90139,339.98014,do you have any siblings like brothers sisters,12f/,
40,40,341.48759,342.25356,mhm,0,
41,41,343.81356,347.92356,mm have you ever gotten into trouble with the police,13/,
42,42,355.52025,359.04025,mm who ended your last romantic relationship,14/,
43,43,371.43814,372.05594,um,0,
44,44,372.18796,373.42357,w- w- what did what did he do,14f,
45,45,391.20138,401.99138,mm whom do you love more your mother or your father i mean your you say your father was absence so i assume that you love your mother,15/ 15f/,
46,46,414.02304,420.00304,uh what is the most you um most you have ever spent on a pair of shoes,16/,
47,47,437.97268,439.35424,where did you buy those shoes,16f/,
48,48,456.56361,457.40361,mhm,0,
49,49,461.40672,464.27672,what's the last movie yous saw that you really hated,17/,
50,50,493.21291,494.31827,mm i see,0,
51,51,495.78125,497.30925,have you ever gone ice skating,18/,
52,52,500.66359,505.41013,mhm mm,0,
53,53,510.92296,513.03747,who taught you ice skating,18f/,
54,54,518.61024,518.90564,mm hm,0,
55,55,524.08526,524.62169,mhm,0,
56,56,531.83904,532.66806,ha,0,
57,57,534.18611,534.60875,ha,0,
58,58,538.7146,543.5246,have you ever been to any ice skating site around new york like new jersey,18f/,
59,59,549.62212,550.0285,mhm,0,
60,60,557.31773,557.85416,mm,0,
61,61,562.53569,563.00709,mm,0,
62,62,565.55917,566.20297,i see,0,
63,63,567.46104,568.06249,ha,0,
64,64,568.32297,581.52397,gotcha do you currently own a tennis racket so what kind of color they are,19/ 19f/,
65,65,589.59731,591.19731,so where do you play tennis,19f/,
66,66,597.6387,598.27265,what's the name,19f/,
67,67,613.97463,615.69769,so who you often go with,19f/,
68,68,634.98951,635.23951,do,0,
69,69,636.83811,646.72548,how many roommates do you have who are they then,20/ 20f/,
70,70,684.11422,684.57305,mhm,0,
71,71,684.76215,685.52843,where do you live,20f,
72,72,686.03234,686.53626,right now,0,
73,73,688.88076,691.1624,a boy oh yeah one twenty fourth,0,
74,74,692.55516,692.83844,oh,0,
75,75,695.45046,695.82822,mhm,0,
76,76,697.41822,699.92822,uh if you attended college what was your major,21/,
77,77,720.75359,722.01607,wh- what college did you go,21f/,
78,78,726.54357,728.02371,mm so what are you studying right now,21f/,
79,79,756.38167,759.74167,mm so what year are you right now uh studying,21f/,
80,80,762.28455,762.7588,mhm,0,
81,81,765.47616,766.15616,i see,0,
82,82,767.48616,767.90616,um,0,
83,83,768.09616,769.38323,do you ever have a cat,22/,
84,84,776.9807,777.99575,what's the name of your cat,22f/,
85,85,780.07576,781.04615,oh what color,22f/,
86,86,784.57107,785.15107,mm hm,0,
87,87,785.83393,786.39969,mm,0,
88,88,788.42754,791.80754,uh have you ever watched a person or pet die,23/,
89,89,796.80562,807.97492,so um did you ever cheat on a test in high school which subject,24/ 24f/,
90,90,812.22504,812.66304,why,24f/,
91,91,812.86272,814.26492,why do you think you cheated,24f/,
92,92,835.73104,836.32113,ha,0,
