,Unnamed: 0,starttime,endtime,text,question,
0,0,7.82508,15.39356,um so i guess we'll start with did you ever cheat on a test in high school,24/,
1,1,17.44356,22.83356,you did i'm shocked what test did you what test did you cheat on,24f/,
2,2,27.8198,42.13522,a lot of them ha like in all subjects just cheating on everything yea alright sounds good ha do you think you would have like,24f,
3,3,42.31522,53.57932,come here if you hadn't cheated on all those tests oh you're not a student here i'm sorry no race ha,24f/,
4,4,47.90625,67.55127,oh you're not a student here i'm sorry no race ha um okay um related to the question have you ever gone ice skating ha ha ha,18/,overlap with previous turn?
5,5,53.57932,68.56022,um okay um related to the question have you ever gone ice skating ha ha ha ha,18/,more overlap
6,6,69.20022,69.34022,ha,0,
7,7,70.63022,80.39029,no not a thing that,0,
8,8,82.41986,85.50986,your friends did your,18f,
9,9,86.25986,86.85123,friends have,18f/,
10,10,87.05385,88.06484,you have never joined them,18f/,
11,11,89.40484,93.67484,never interested in going you're really interested in going,18f/,
12,12,99.49873,123.48844,um um mm so where were you born # okay i know nothing about michigan he he,1/,
13,13,124.26449,132.16686,east coaster um is that like near the lakes or no,1f/,
14,14,135.62502,160.9911,alright um have you ever stayed overnight in a hospital as as a patient not kind when you were born i'm assuming ha ha yeah what was it for um,8/ 8f/,
15,15,166.0511,169.9911,oh like what kind of infection uh like of what,8f/,
16,16,171.4911,172.0111,ok ha ha,0,
17,17,172.1711,172.3311,its,0,
18,18,177.78132,187.8514,um who was the last person you were in a physical fight with,12/,
19,19,198.12234,199.31969,# what were you fighting over #,12f,
20,20,202.98927,203.46925,okay,0,
21,21,206.68559,209.43028,ha okay,0,
22,22,209.61449,223.03823,i can accept that ha ha ha um what is the most you have ever spent on a pair of shoes,16/,
23,23,226.03727,229.59438,okay okay what kind of were they like dress shoes,16f/,
24,24,237.59438,239.06188,wait really,16f/,
25,25,239.71462,247.83438,ha #they were one hundred and twenty dollars okay alright,16f/,
26,26,251.86438,265.84619,wait hold on okay how many roommates do you have,20/,
27,27,270.35927,270.79627,# oh,0,
28,28,279.24874,293.11825,have you ever bought anything on ebay he,10/,
29,29,293.78825,299.9566,he he what did you buy er multiple things i don't know,10f,
30,30,301.79084,303.88084,oh okay what do you do you play,10f,
31,31,309.5935,310.93084,so do i actu-well i play trumpet ha,0,
32,32,311.04874,313.48084,i don't play tuba i wish i played tuba,0,
33,33,316.69009,323.37009,um hm have you ever broke a bone,6/,
34,34,327.93009,328.95173,what did you break,6f/,
35,35,337.14173,351.59791,how old were you yeah like it's a like when most people break seems like,6f/,
36,36,355.05939,358.1457,um what's your mothers job,3/,
37,37,363.10924,369.42616,oh like freelance or does she like work for ok,3f/,
38,38,378.71616,390.86785,what's your fathers job okay casual ha,4/,
39,39,394.10397,401.55488,um did you ever have a cat you have,22/,
40,40,401.80488,404.69488,do you currently have a cat like,22f/,
41,41,405.78147,406.80147,right i meant like,0,
42,42,406.89147,408.30664,for family er he,0,
43,43,409.07147,409.16147,he,0,
44,44,409.43147,421.06701,okay do you currently own a tennis racket,19/,
45,45,428.09701,432.31701,do you still do you play a lot or like one of those things ha,19f/,
46,46,439.35898,440.65898,# yeah yeah #,0,
47,47,446.93567,447.34092,mhm,0,
48,48,447.45145,448.09617,mhm #,0,
49,49,449.01206,449.52784,mhm,0,
50,50,460.51271,468.3066,well who ended your last romantic relationship the girl did,14/,
51,51,469.4466,487.63404,sucks ha sorry hehe um whoops have your parents divorced,5/,
52,52,471.9666,493.5989,sorry hehe um whoops have your parents divorced i'm sorry about that,5/,overlap with previous
53,53,492.00404,496.96404,i'm sorry about that when when did that happen,5f/,
54,54,513.40102,515.92787,how many years did you live in your first home,2/,
55,55,535.94356,538.57772,have you ever gotten into trouble with the police,13/,
56,56,545.0121,560.18046,no that's good ha this one is horrible whom do you love more your mother or your father,15/,
57,57,560.18046,561.98837,he he he he he,0,
58,58,561.98837,563.01993,uh he,0,
59,59,567.14493,573.98493,father i'm not even going to ask you if there's a reason ha for that,0,
60,60,575.05493,601.50421,i don't know um i don't know did i what happened to why didn't i write something down for tennis racket oh wrote okay what was the last movie you really hated i don't know what that is he ha,17/,
61,61,601.94421,603.79421,ha what is the last action hero,17f/,
62,62,614.20604,614.76604,okay,0,
63,63,616.61604,620.50414,# ha geez alright,0,
64,64,620.74604,621.13604,okay,0,
65,65,621.31465,639.83846,okay um alrigh- what was that who define that again in a second so what's your major if you if you attended college what is your major,21/,
66,66,645.25415,647.6622,on tuba ha # yes,0,
67,67,664.36733,666.94623,have you ever watched a person or pet die,23/,
68,68,677.24361,679.25146,have you ever tweeted ha ha,9/,
69,69,684.97783,686.00939,ha,0,
70,70,689.1468,701.92152,you haven't alright do you own an e reader of any kind,11/,
71,71,703.63152,711.14,nope and do you have any allergies allergies to any foods,7/,
72,72,720.7962,723.1062,what happens when you,7f,
73,73,726.18659,728.48659,like which which food ha what happens when you,7f,
74,74,728.48659,729.99659,when you eat it or whatever,7f/,
75,75,734.93519,735.40519,okay,0,
76,76,738.06484,739.11519,okay,0,
77,77,739.18519,759.6891,gluten or milk that sucks um alright i think that's it,0,
